"subj";"group";"tree";"cat";"rt"
0;0;0;0;6,30991827822652
0;0;0;0;6,37672694789863
0;0;0;0;6,44413125670044
0;0;0;0;6,52795791762255
0;0;0;0;6,38012253689976
0;0;0;0;6,39526159811545
0;0;0;0;6,41673228251233
0;0;0;0;6,28226674689601
0;0;0;0;6,41999492814714
0;0;0;0;6,50578406012823
0;0;0;0;6,96602418710611
0;0;0;0;6,64378973314767
0;0;0;0;6,16120732169508
0;0;0;0;6,44730586254121
0;0;0;0;6,5792512120101
0;0;0;0;6,42324696353352
0;0;0;0;6,5510803350434
0;0;0;0;6,26149168432104
0;0;0;0;6,55535689181067
0;0;0;0;6,40522845803084
0;0;0;0;6,46146817635372
0;0;0;0;6,85224256905188
0;0;0;0;6,40191719672719
0;0;0;0;6,59167373200866
0;0;0;0;6,53813982376767
0;0;0;0;6,54534966033442
0;0;0;1;6,75925527066369
0;0;0;1;7,2211050981825
0;0;0;1;6,44730586254121
0;0;0;1;6,93244789157251
0;0;1;2;6,69950034016168
0;0;1;2;6,97260625130175
0;0;1;3;6,43615036836943
0;0;1;3;6,46302945692067
0;0;1;3;6,63200177739563
0;0;1;3;6,90775527898214
0;0;1;3;6,59987049921284
0;0;1;3;7,06902342657826
0;0;1;3;6,60123011872888
0;0;1;3;6,60258789218934
0;0;1;3;6,35262939631957
0;0;1;3;6,48004456192665
0;0;1;3;6,74523634948436
0;0;1;3;6,4707995037826
0;0;1;3;6,61069604471776
0;0;1;3;6,37842618365159
0;0;1;3;6,50279004591562
0;0;1;3;6,67329796776765
0;0;1;3;6,56807791141198
0;0;1;3;6,56385552653213
0;0;1;3;7,27100853828099
0;0;1;3;6,5366915975913
0;0;1;3;6,80572255341699
0;0;1;3;6,38687931936265
0;0;1;3;6,48920493132532
0;0;1;3;6,59441345974978
0;0;1;3;6,25958146406492
0;0;1;3;6,41836493593621
0;0;1;3;6,99117688712121
0;0;1;3;6,81783057145415
1;0;0;0;6,71417052990947
1;0;0;0;6,49677499018586
1;0;0;0;6,30627528694802
1;0;0;0;6,36990098282823
1;0;0;0;6,35610766069589
1;0;0;0;6,92362862813843
1;0;0;0;6,89669433162271
1;0;0;0;6,33859407820318
1;0;0;0;6,58617165485467
1;0;0;0;6,50128967054039
1;0;0;0;6,86484777797086
1;0;0;0;6,51174532964473
1;0;0;0;6,45990445437753
1;0;0;0;6,51025834052315
1;0;0;0;7,04925484125584
1;0;0;0;6,08677472691231
1;0;0;0;6,48463523563525
1;0;0;0;6,46146817635372
1;0;0;0;6,4085287910595
1;0;0;0;6,43294009273918
1;0;0;0;6,43454651878745
1;0;0;0;6,59441345974978
1;0;0;0;6,51471269087253
1;0;0;0;6,92461239604856
1;0;0;1;6,92755790627832
1;0;0;1;6,85751406254539
1;0;0;1;6,61873898351722
1;0;0;1;6,82437367004309
1;0;0;1;6,9555926083963
1;0;0;1;6,74758652682932
1;0;1;2;6,74051935960622
1;0;1;2;6,36475075685191
1;0;1;2;6,70686233660275
1;0;1;2;6,80461452006262
1;0;1;3;6,6631326959908
1;0;1;3;6,67329796776765
1;0;1;3;6,67708346124714
1;0;1;3;6,16120732169508
1;0;1;3;6,88346258641309
1;0;1;3;6,32256523992728
1;0;1;3;6,83410873881384
1;0;1;3;6,40025744530882
1;0;1;3;6,5206211275587
1;0;1;3;6,35610766069589
1;0;1;3;6,78897174299217
1;0;1;3;7,07157336421153
1;0;1;3;6,96034772910131
1;0;1;3;6,45833828334479
1;0;1;3;6,86066367144829
1;0;1;3;6,62936325343745
1;0;1;3;6,62539236800796
1;0;1;3;6,25575004175337
1;0;1;3;6,75809450442773
1;0;1;3;6,60665018619822
1;0;1;3;6,95463886488099
1;0;1;3;6,24997524225948
1;0;1;3;6,65929391968364
1;0;1;3;6,66440902035041
1;0;1;3;6,73221070646721
1;0;1;3;6,58617165485467
2;0;0;0;6,37842618365159
2;0;0;0;6,25575004175337
2;0;0;0;6,44571981938558
2;0;0;0;6,69579891705849
2;0;0;0;6,60394382460047
2;0;0;0;6,61472560020376
2;0;0;0;6,19031540585315
2;0;0;0;6,35088571671474
2;0;0;0;6,44730586254121
2;0;0;0;6,12905021006055
2;0;0;0;6,49677499018586
2;0;0;0;6,78445706263764
2;0;0;0;6,53813982376767
2;0;0;0;6,86797440897029
2;0;0;0;6,52795791762255
2;0;0;0;6,62140565176413
2;0;0;0;6,2841341610708
2;0;0;0;6,66440902035041
2;0;0;0;6,1779441140506
2;0;0;0;6,71417052990947
2;0;0;1;6,80682936039218
2;0;0;1;6,7202201551353
2;0;0;1;6,4118182677099
2;0;0;1;6,46146817635372
2;0;0;1;6,32793678372919
2;0;0;1;7,08506429395255
2;0;0;1;7,45645455517621
2;0;0;1;6,52209279817015
2;0;0;1;6,49526555593701
2;0;0;1;6,65157187358973
2;0;1;2;6,44888939414686
2;0;1;2;6,3750248198281
2;0;1;2;6,78105762593618
2;0;1;2;6,73578001424233
2;0;1;2;6,93244789157251
2;0;1;2;6,58063913728495
2;0;1;2;6,50876913697168
2;0;1;2;6,98007594056176
2;0;1;2;6,75576892198425
2;0;1;3;6,41673228251233
2;0;1;3;6,40687998606931
2;0;1;3;6,64898455002478
2;0;1;3;6,37161184723186
2;0;1;3;6,50128967054039
2;0;1;3;6,64248680136726
2;0;1;3;6,58479139238572
2;0;1;3;6,40522845803084
2;0;1;3;6,27476202124194
2;0;1;3;6,81783057145415
2;0;1;3;6,64768837356333
2;0;1;3;6,84694313958538
2;0;1;3;6,48920493132532
2;0;1;3;6,54965074223381
2;0;1;3;6,36647044773144
2;0;1;3;6,5424719605068
2;0;1;3;6,39692965521615
2;0;1;3;6,73696695800186
2;0;1;3;6,31535800152233
2;0;1;3;6,30627528694802
2;0;1;3;6,76041469108343
3;0;0;0;6,64118216974059
3;0;0;0;6,82219739062049
3;0;0;0;6,12029741895095
3;0;0;0;6,05208916892442
3;0;0;0;6,57228254269401
3;0;0;0;6,68710860786651
3;0;0;0;6,66185474054531
3;0;0;0;6,62273632394984
3;0;0;0;6,57228254269401
3;0;0;0;6,70073110954781
3;0;0;0;6,52356230614951
3;0;0;0;6,26149168432104
3;0;0;0;6,5424719605068
3;0;0;0;6,69950034016168
3;0;0;0;6,96508034560141
3;0;0;0;6,68835471394676
3;0;0;0;6,51323011091231
3;0;0;1;7,14834574390007
3;0;0;1;6,43294009273918
3;0;0;1;6,86901445066571
3;0;0;1;7,16549347506085
3;0;0;1;6,80903930604298
3;0;0;1;6,41017488196617
3;0;0;1;6,40191719672719
3;0;0;1;6,73340189183736
3;0;0;1;6,69579891705849
3;0;0;1;6,65157187358973
3;0;0;1;6,30809844150953
3;0;0;1;6,9555926083963
3;0;0;1;6,77764659363512
3;0;1;2;6,54534966033442
3;0;1;2;6,81783057145415
3;0;1;2;6,04263283368238
3;0;1;2;6,42486902390539
3;0;1;2;6,85856503479136
3;0;1;3;6,60123011872888
3;0;1;3;6,55393340402581
3;0;1;3;6,51025834052315
3;0;1;3;6,52356230614951
3;0;1;3;6,51767127291227
3;0;1;3;7,03614849375054
3;0;1;3;6,71659477352098
3;0;1;3;6,56103066589657
3;0;1;3;6,60800062529609
3;0;1;3;6,36818718635049
3;0;1;3;6,48004456192665
3;0;1;3;6,25766758788264
3;0;1;3;6,12905021006055
3;0;1;3;6,3750248198281
3;0;1;3;6,48768401848461
3;0;1;3;6,78558764500793
3;0;1;3;6,31716468674728
3;0;1;3;6,54678541076052
3;0;1;3;6,56807791141198
3;0;1;3;6,22059017009974
3;0;1;3;6,30627528694802
3;0;1;3;6,4150969591716
3;0;1;3;6,5792512120101
3;0;1;3;6,66440902035041
3;0;1;3;6,63987583382654
4;0;0;0;6,34212141872115
4;0;0;0;6,42324696353352
4;0;0;0;6,91373735065968
4;0;0;0;6,31896811374643
4;0;0;0;6,27476202124194
4;0;0;0;6,77650699237218
4;0;0;0;6,1779441140506
4;0;0;0;6,27476202124194
4;0;0;0;6,22653666928747
4;0;0;0;6,5424719605068
4;0;0;0;6,41017488196617
4;0;0;0;6,36990098282823
4;0;0;0;6,48157712927643
4;0;0;0;6,53958595561767
4;0;0;0;6,70563909486
4;0;0;0;6,57646956904822
4;0;0;0;6,28599809450886
4;0;0;0;6,24610676548156
4;0;0;0;6,58063913728495
4;0;0;1;7,01929665371504
4;0;0;1;6,73340189183736
4;0;0;1;6,68586094706836
4;0;0;1;7,50163445788341
4;0;0;1;6,96034772910131
4;0;0;1;6,57646956904822
4;0;0;1;7,06987412845857
4;0;0;1;6,64378973314767
4;0;0;1;6,68710860786651
4;0;0;1;6,54534966033442
4;0;0;1;6,72262979485545
4;0;1;2;6,32256523992728
4;0;1;2;6,5694814204143
4;0;1;2;6,75809450442773
4;0;1;2;6,59987049921284
4;0;1;3;6,70686233660275
4;0;1;3;6,33682573114644
4;0;1;3;6,4281052726846
4;0;1;3;6,67203294546107
4;0;1;3;6,72503364216684
4;0;1;3;6,81234509417748
4;0;1;3;6,27287700654617
4;0;1;3;6,24610676548156
4;0;1;3;6,56667242980324
4;0;1;3;6,45519856334012
4;0;1;3;6,38856140554563
4;0;1;3;6,39692965521615
4;0;1;3;6,36818718635049
4;0;1;3;6,61472560020376
4;0;1;3;6,80461452006262
4;0;1;3;6,42971947803914
4;0;1;3;7,06390396147207
4;0;1;3;6,80793494369993
4;0;1;3;6,25575004175337
4;0;1;3;6,69208374250663
4;0;1;3;6,73696695800186
4;0;1;3;6,64639051484773
4;0;1;3;6,42971947803914
4;0;1;3;6,49978704065585
4;0;1;3;6,65157187358973
4;0;1;3;6,7093043402583
5;0;0;0;6,81563999007433
5;0;0;0;6,49828214947643
5;0;0;0;6,63594655568665
5;0;0;0;6,57646956904822
5;0;0;0;6,04973345523196
5;0;0;0;6,5875500148248
5;0;0;0;6,34212141872115
5;0;0;0;6,56526497003536
5;0;0;0;6,63594655568665
5;0;0;0;6,41017488196617
5;0;0;0;6,67834211465433
5;0;0;0;6,53378883793334
5;0;0;0;6,4150969591716
5;0;0;0;6,68710860786651
5;0;0;0;6,70808408385307
5;0;0;0;6,41017488196617
5;0;0;0;6,52209279817015
5;0;0;0;6,78219205600679
5;0;0;0;6,86901445066571
5;0;0;0;6,25766758788264
5;0;0;0;6,61472560020376
5;0;0;0;6,42971947803914
5;0;0;0;6,65286302935335
5;0;0;0;6,50578406012823
5;0;0;0;6,55677835615804
5;0;0;1;6,8627579130514
5;0;0;1;5,85220247977447
5;0;0;1;6,54534966033442
5;0;0;1;6,35262939631957
5;0;0;1;6,50727771238501
5;0;1;2;6,85435450225502
5;0;1;2;6,74523634948436
5;0;1;2;6,86693328446188
5;0;1;2;6,59578051396131
5;0;1;2;6,44571981938558
5;0;1;2;6,81454289725996
5;0;1;2;6,90475076996184
5;0;1;3;6,75809450442773
5;0;1;3;6,22851100359118
5;0;1;3;5,89715386763674
5;0;1;3;6,58340922215876
5;0;1;3;5,35658627467201
5;0;1;3;6,24804287450843
5;0;1;3;6,25190388316589
5;0;1;3;6,59714570188665
5;0;1;3;6,02586597382531
5;0;1;3;5,88610403145016
5;0;1;3;6,22455842927536
5;0;1;3;6,65157187358973
5;0;1;3;5,78382518232974
5;0;1;3;6,12905021006055
5;0;1;3;6,36818718635049
5;0;1;3;5,43372200355424
5;0;1;3;5,97126183979046
5;0;1;3;6,34738920965601
5;0;1;3;6,13556489108174
5;0;1;3;6,49828214947643
5;0;1;3;6,27476202124194
5;0;1;3;6,37331978957701
5;0;1;3;6,1527326947041
6;0;0;0;6,18826412308259
6;0;0;0;6,15485809401642
6;0;0;0;6,49072353450251
6;0;0;0;6,0591231955818
6;0;0;0;6,289715570909
6;0;0;0;6,35610766069589
6;0;0;0;6,4707995037826
6;0;0;0;6,14418563412565
6;0;0;0;6,54965074223381
6;0;0;0;6,65286302935335
6;0;0;0;6,25766758788264
6;0;0;0;5,99893656194668
6;0;0;0;6,70196036600254
6;0;0;0;6,39024066706535
6;0;0;0;6,67203294546107
6;0;0;0;6,62539236800796
6;0;0;0;6,64118216974059
6;0;0;0;6,5694814204143
6;0;0;0;6,5510803350434
6;0;0;0;6,53087762772588
6;0;0;0;6,41999492814714
6;0;0;0;6,36990098282823
6;0;0;1;6,70073110954781
6;0;0;1;6,92559519711047
6;0;0;1;6,88550967003482
6;0;0;1;7,10987946307227
6;0;0;1;6,47697236288968
6;0;0;1;6,65157187358973
6;0;0;1;6,67203294546107
6;0;0;1;6,8596149036542
6;0;1;2;6,92264389147589
6;0;1;2;6,91373735065968
6;0;1;2;6,47697236288968
6;0;1;2;6,04737217904628
6;0;1;3;6,30261897574491
6;0;1;3;6,54965074223381
6;0;1;3;6,32076829425058
6;0;1;3;6,63463335786169
6;0;1;3;6,02586597382531
6;0;1;3;7,05272104923232
6;0;1;3;6,39859493453521
6;0;1;3;6,37842618365159
6;0;1;3;7,02197642307216
6;0;1;3;6,53378883793334
6;0;1;3;6,81563999007433
6;0;1;3;6,88346258641309
6;0;1;3;6,71538338633468
6;0;1;3;6,79570577517351
6;0;1;3;6,4393503711001
6;0;1;3;6,56385552653213
6;0;1;3;6,86901445066571
6;0;1;3;6,5366915975913
6;0;1;3;6,49828214947643
6;0;1;3;6,73221070646721
6;0;1;3;6,68835471394676
6;0;1;3;6,56244409369372
6;0;1;3;6,7202201551353
6;0;1;3;6,47697236288968
6;0;1;3;6,61873898351722
6;0;1;3;6,4085287910595
7;0;0;0;6,84161547647759
7;0;0;0;6,79682371827486
7;0;0;0;6,21860011969173
7;0;0;0;6,7696419768525
7;0;0;0;6,49526555593701
7;0;0;0;6,71659477352098
7;0;0;0;6,5694814204143
7;0;0;0;6,6682282484174
7;0;0;0;6,31173480915291
7;0;0;0;6,56667242980324
7;0;0;0;6,71417052990947
7;0;0;0;6,77650699237218
7;0;0;0;6,59441345974978
7;0;0;0;6,48004456192665
7;0;0;0;6,87212810133899
7;0;0;0;6,54391184556479
7;0;0;0;6,26149168432104
7;0;0;0;6,81563999007433
7;0;0;0;6,21660610108486
7;0;0;0;6,72982407048948
7;0;0;0;6,58063913728495
7;0;0;1;6,41345895716736
7;0;0;1;7,29437729928882
7;0;0;1;7,02731451403978
7;0;0;1;7,06133436691044
7;0;0;1;6,56103066589657
7;0;0;1;6,89060912014717
7;0;0;1;6,36302810354046
7;0;0;1;6,79346613258001
7;0;0;1;6,60394382460047
7;0;1;2;6,59304453414244
7;0;1;2;6,82001636467413
7;0;1;2;6,93634273583405
7;0;1;2;6,50428817353665
7;0;1;2;6,50279004591562
7;0;1;3;6,56807791141198
7;0;1;3;6,60665018619822
7;0;1;3;6,38012253689976
7;0;1;3;6,66568371778241
7;0;1;3;6,38687931936265
7;0;1;3;6,45519856334012
7;0;1;3;6,54821910276237
7;0;1;3;6,45833828334479
7;0;1;3;6,31716468674728
7;0;1;3;6,71901315438526
7;0;1;3;6,71052310945243
7;0;1;3;6,64768837356333
7;0;1;3;6,79794041297493
7;0;1;3;6,24416690066374
7;0;1;3;6,09807428216624
7;0;1;3;6,64509096950564
7;0;1;3;6,76849321164863
7;0;1;3;6,22851100359118
7;0;1;3;6,47850964220857
7;0;1;3;6,53958595561767
7;0;1;3;6,42971947803914
7;0;1;3;6,19236248947487
7;0;1;3;6,34738920965601
7;0;1;3;6,67834211465433
7;0;1;3;6,76041469108343
8;0;0;0;6,53087762772588
8;0;0;0;6,27852142416584
8;0;0;0;6,56526497003536
8;0;0;0;6,27476202124194
8;0;0;0;6,36818718635049
8;0;0;0;6,29341927884648
8;0;0;0;6,4377516497364
8;0;0;0;6,35957386867238
8;0;0;0;6,43133108193348
8;0;0;0;6,24027584517077
8;0;0;0;6,92362862813843
8;0;0;0;6,44730586254121
8;0;0;0;6,67834211465433
8;0;0;0;6,5875500148248
8;0;0;0;6,30991827822652
8;0;0;0;6,60934924316738
8;0;0;0;6,289715570909
8;0;0;0;6,38350663488401
8;0;0;0;6,58340922215876
8;0;0;0;6,31535800152233
8;0;0;0;6,52941883826223
8;0;0;0;6,42648845745769
8;0;0;0;6,43294009273918
8;0;0;0;6,51619307604296
8;0;0;0;6,53524127101366
8;0;0;1;6,64768837356333
8;0;0;1;6,77878489768518
8;0;0;1;6,27287700654617
8;0;0;1;6,86901445066571
8;0;0;1;6,86171134048073
8;0;1;2;6,36990098282823
8;0;1;2;6,77650699237218
8;0;1;2;6,63200177739563
8;0;1;2;6,76503897678054
8;0;1;2;6,74170069465205
8;0;1;2;6,68835471394676
8;0;1;2;6,70073110954781
8;0;1;2;6,57368016696065
8;0;1;2;6,70808408385307
8;0;1;2;6,39859493453521
8;0;1;3;6,30627528694802
8;0;1;3;6,39692965521615
8;0;1;3;6,4281052726846
8;0;1;3;6,49375383985169
8;0;1;3;6,73459165997295
8;0;1;3;6,68835471394676
8;0;1;3;6,87626461189077
8;0;1;3;6,45990445437753
8;0;1;3;7,09090982207998
8;0;1;3;6,42971947803914
8;0;1;3;6,74523634948436
8;0;1;3;6,41345895716736
8;0;1;3;6,23441072571837
8;0;1;3;6,27664348934164
8;0;1;3;6,5191472879404
8;0;1;3;6,42971947803914
8;0;1;3;6,7202201551353
8;0;1;3;6,6052979209482
8;0;1;3;6,4281052726846
8;0;1;3;6,31896811374643
9;0;0;0;6,92951677076365
9;0;0;0;6,55393340402581
9;0;0;0;6,55961523749324
9;0;0;0;6,61873898351722
9;0;0;0;6,59850902861452
9;0;0;0;6,18414889093748
9;0;0;0;6,68210859744981
9;0;0;0;6,62804137617953
9;0;0;0;6,58892647753352
9;0;0;0;6,74875954749168
9;0;0;0;6,58063913728495
9;0;0;0;6,70441435496411
9;0;0;0;6,58063913728495
9;0;0;0;6,75576892198425
9;0;0;0;6,3456363608286
9;0;0;0;6,71052310945243
9;0;0;0;6,97541392745595
9;0;0;0;6,7900972355139
9;0;0;0;6,35088571671474
9;0;0;0;6,53813982376767
9;0;0;0;6,50428817353665
9;0;0;0;6,91075078796194
9;0;0;0;6,48004456192665
9;0;0;1;6,85856503479136
9;0;0;1;6,67582322163485
9;0;0;1;5,84354441703136
9;0;0;1;6,46769872610435
9;0;0;1;6,43294009273918
9;0;0;1;6,12468339089421
9;0;0;1;6,56807791141198
9;0;1;2;6,75693238924755
9;0;1;2;6,96508034560141
9;0;1;2;6,77308037565554
9;0;1;2;6,85751406254539
9;0;1;3;6,53087762772588
9;0;1;3;6,47850964220857
9;0;1;3;6,53378883793334
9;0;1;3;6,23441072571837
9;0;1;3;6,39859493453521
9;0;1;3;6,58063913728495
9;0;1;3;6,33150184989369
9;0;1;3;6,21060007702465
9;0;1;3;5,6970934865054
9;0;1;3;6,61472560020376
9;0;1;3;6,25382881157547
9;0;1;3;5,72031177660741
9;0;1;3;6,63068338564237
9;0;1;3;6,58892647753352
9;0;1;3;6,23244801655052
9;0;1;3;6,08449941307517
9;0;1;3;6,67329796776765
9;0;1;3;6,48920493132532
9;0;1;3;6,99942246750796
9;0;1;3;6,34388043412633
9;0;1;3;5,81413053182507
9;0;1;3;6,25766758788264
9;0;1;3;6,45833828334479
9;0;1;3;6,89365635460264
9;0;1;3;6,28599809450886
9;0;1;3;6,61873898351722
10;0;0;0;6,43615036836943
10;0;0;0;6,93244789157251
10;0;0;0;6,8501261661455
10;0;0;0;5,95324333428778
10;0;0;0;6,52209279817015
10;0;0;0;7,06133436691044
10;0;0;0;6,09807428216624
10;0;0;0;6,1527326947041
10;0;0;0;6,41017488196617
10;0;0;0;6,60665018619822
10;0;0;0;6,68210859744981
10;0;0;0;6,4118182677099
10;0;0;0;6,28599809450886
10;0;0;0;6,29341927884648
10;0;0;0;6,69332366826995
10;0;0;0;6,50876913697168
10;0;0;0;6,71174039505618
10;0;0;0;6,5410299991899
10;0;0;0;6,49677499018586
10;0;0;0;6,31716468674728
10;0;0;0;5,98896141688986
10;0;0;0;6,45362499889269
10;0;0;1;6,65544035036765
10;0;0;1;7,36707705988101
10;0;0;1;7,24850407237061
10;0;0;1;7,47873482556787
10;0;0;1;6,82001636467413
10;0;0;1;6,82979373751242
10;0;0;1;6,93731408122368
10;0;0;1;7,00306545878646
10;0;1;2;6,5875500148248
10;0;1;2;6,79234442747081
10;0;1;2;6,37672694789863
10;0;1;2;6,4281052726846
10;0;1;2;6,98564181763921
10;0;1;3;6,61204103483309
10;0;1;3;6,85118492749374
10;0;1;3;6,56807791141198
10;0;1;3;6,70073110954781
10;0;1;3;7,04403289727469
10;0;1;3;6,54965074223381
10;0;1;3;7,08170858610557
10;0;1;3;6,45833828334479
10;0;1;3;6,77992190747225
10;0;1;3;6,75925527066369
10;0;1;3;7,03614849375054
10;0;1;3;6,30991827822652
10;0;1;3;6,72982407048948
10;0;1;3;7,22983877815125
10;0;1;3;6,20455776256869
10;0;1;3;6,26909628370626
10;0;1;3;6,61472560020376
10;0;1;3;6,54965074223381
10;0;1;3;6,71295620067707
10;0;1;3;6,45362499889269
10;0;1;3;6,57088296233958
10;0;1;3;6,55819780281227
10;0;1;3;6,71295620067707
10;0;1;3;6,8351845861473
10;0;1;3;6,49526555593701
11;0;0;0;6,71780469502369
11;0;0;0;6,40357419793482
11;0;0;0;6,84800527457636
11;0;0;0;6,5875500148248
11;0;0;0;6,51323011091231
11;0;0;0;6,54821910276237
11;0;0;0;7,08590146436561
11;0;0;0;6,44094654063292
11;0;0;0;6,53233429222235
11;0;0;0;6,46769872610435
11;0;0;0;6,20859002609663
11;0;0;0;6,43454651878745
11;0;0;0;6,55961523749324
11;0;0;0;6,45204895443723
11;0;0;0;6,61204103483309
11;0;0;0;6,94119005506837
11;0;0;0;6,67959918584438
11;0;0;0;6,47543271670409
11;0;0;0;6,44888939414686
11;0;0;0;6,44730586254121
11;0;0;0;6,60800062529609
11;0;0;0;6,46769872610435
11;0;0;1;6,97728134163075
11;0;0;1;7,30586003268401
11;0;0;1;6,77536609093639
11;0;0;1;7,3790081276283
11;0;0;1;7,17472430983638
11;0;0;1;6,30444880242198
11;0;0;1;6,67203294546107
11;0;0;1;7,21597500265147
11;0;1;2;6,96979066990159
11;0;1;2;6,74993119378857
11;0;1;2;6,71052310945243
11;0;1;2;6,69456205852109
11;0;1;2;6,59850902861452
11;0;1;3;6,75110146893676
11;0;1;3;6,24222326545517
11;0;1;3;6,37672694789863
11;0;1;3;6,42971947803914
11;0;1;3;6,70808408385307
11;0;1;3;6,7286286130847
11;0;1;3;6,60800062529609
11;0;1;3;6,18620862390049
11;0;1;3;6,23244801655052
11;0;1;3;6,35957386867238
11;0;1;3;6,97447891102505
11;0;1;3;6,26530121273771
11;0;1;3;6,96034772910131
11;0;1;3;6,36475075685191
11;0;1;3;6,77078942390898
11;0;1;3;6,99759598298193
11;0;1;3;6,49375383985169
11;0;1;3;6,3578422665081
11;0;1;3;6,38856140554563
11;0;1;3;6,37672694789863
11;0;1;3;6,54965074223381
11;0;1;3;6,40025744530882
11;0;1;3;6,26530121273771
11;0;1;3;6,4831073514572
11;0;1;3;6,76272950693188
12;0;0;0;6,38350663488401
12;0;0;0;6,18001665365257
12;0;0;0;6,23048144757848
12;0;0;0;6,19847871649231
12;0;0;0;6,36990098282823
12;0;0;0;6,3919171133926
12;0;0;0;6,24222326545517
12;0;0;0;6,06610809010375
12;0;0;0;6,27287700654617
12;0;0;0;6,5366915975913
12;0;0;0;6,20657592672493
12;0;0;0;6,49677499018586
12;0;0;0;6,4707995037826
12;0;0;0;6,29894924685594
12;0;0;0;6,99301512293296
12;0;0;0;6,55819780281227
12;0;0;0;6,29710931993394
12;0;0;0;6,51619307604296
12;0;0;0;6,75693238924755
12;0;0;0;6,55677835615804
12;0;0;0;6,4150969591716
12;0;0;0;6,33327962813969
12;0;0;1;7,29709100516042
12;0;0;1;6,84054652928869
12;0;0;1;6,73696695800186
12;0;0;1;6,81234509417748
12;0;0;1;6,5694814204143
12;0;0;1;6,72743172485086
12;0;0;1;6,59167373200866
12;0;0;1;7,00124562206948
12;0;1;2;6,44730586254121
12;0;1;2;6,4085287910595
12;0;1;2;6,40357419793482
12;0;1;3;6,5510803350434
12;0;1;3;6,98193467715639
12;0;1;3;6,9555926083963
12;0;1;3;6,55393340402581
12;0;1;3;6,89162589705225
12;0;1;3;6,4118182677099
12;0;1;3;6,4831073514572
12;0;1;3;6,26149168432104
12;0;1;3;6,82871207164168
12;0;1;3;6,61069604471776
12;0;1;3;6,27287700654617
12;0;1;3;6,30261897574491
12;0;1;3;6,4393503711001
12;0;1;3;6,59441345974978
12;0;1;3;6,92264389147589
12;0;1;3;6,52941883826223
12;0;1;3;6,90675477864855
12;0;1;3;6,46458830368996
12;0;1;3;6,84587987526405
12;0;1;3;6,4723462945009
12;0;1;3;7,06219163228656
12;0;1;3;6,62007320653036
12;0;1;3;6,48920493132532
12;0;1;3;6,45833828334479
12;0;1;3;6,72623340235875
12;0;1;3;6,44730586254121
12;0;1;3;6,31716468674728
13;0;0;0;6,19440539110467
13;0;0;0;6,52941883826223
13;0;0;0;6,20455776256869
13;0;0;0;6,31535800152233
13;0;0;0;6,58063913728495
13;0;0;0;6,51619307604296
13;0;0;0;6,38012253689976
13;0;0;0;6,63068338564237
13;0;0;0;6,12249280951439
13;0;0;0;6,69084227741856
13;0;0;0;6,63068338564237
13;0;0;0;6,30444880242198
13;0;0;0;6,41999492814714
13;0;0;0;6,49677499018586
13;0;0;0;6,78332520060396
13;0;0;0;6,30444880242198
13;0;0;0;6,71174039505618
13;0;0;0;6,96034772910131
13;0;0;0;6,66568371778241
13;0;0;1;6,72743172485086
13;0;0;1;6,92559519711047
13;0;0;1;6,79682371827486
13;0;0;1;6,72383244082121
13;0;0;1;6,57228254269401
13;0;0;1;6,99117688712121
13;0;0;1;6,77878489768518
13;0;0;1;6,84268328223842
13;0;0;1;6,79682371827486
13;0;0;1;6,24997524225948
13;0;0;1;6,7990558620588
13;0;1;2;6,63987583382654
13;0;1;2;6,78105762593618
13;0;1;2;6,52209279817015
